[2018-06-14 12:43:13,280] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,292] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,324] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,339] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,356] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,364] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,377] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,385] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,393] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,416] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,425] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001767的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,446] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,460] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,467] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,483] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,555] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,636] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
[2018-06-14 12:43:13,652] 1 -ERROR-ScanMaterial             [Run]-异常：KP_NO=808001768的物料等级或者使用期限为空， Level=, USER_DATE=
